date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yr_built,city,price_per_sqft
2014-05-02,430000.0,4.0,1.5,1920,10000,1.0,4,1954,Bellevue,223.96
2014-05-02,491500.0,4.0,1.75,2190,125452,1.0,3,1968,Auburn,224.43
2014-05-02,785000.0,5.0,3.25,3660,11995,2.0,3,2006,Snoqualmie,214.48
2014-05-02,385000.0,3.0,3.25,1320,1327,2.0,3,2008,Seattle,291.67
2014-05-02,295000.0,2.0,2.5,1630,1368,2.0,3,2009,Seattle,180.98
2014-05-02,555000.0,4.0,2.5,3310,6500,2.0,3,2012,Snoqualmie,167.67
2014-05-02,459990.0,3.0,2.5,2680,5539,2.0,3,2013,North Bend,171.64
2014-05-02,625000.0,4.0,3.25,2730,54014,1.0,3,2007,Renton,228.94
2014-05-02,300000.0,3.0,2.5,2540,5050,2.0,3,2006,Kent,118.11
2014-05-03,625000.0,4.0,2.75,2920,6605,2.0,3,2012,Renton,214.04
2014-05-03,553000.0,2.0,1.0,900,5000,1.0,3,1944,Seattle,614.44
2014-05-03,379880.0,3.0,2.5,1650,14054,1.0,4,1986,Issaquah,230.23
2014-05-03,310000.0,3.0,1.0,1010,9945,1.0,4,1973,Snoqualmie,306.93
2014-05-04,775000.0,2.0,2.5,2680,7392,1.0,3,2004,Redmond,289.18
2014-05-04,365000.0,3.0,2.5,2200,7350,1.0,5,1988,Renton,165.91
2014-05-04,331950.0,4.0,2.5,2530,9933,2.0,3,1990,Auburn,131.21
2014-05-04,783500.0,3.0,2.5,2850,7130,2.0,3,1980,Seattle,274.91
2014-05-04,628000.0,4.0,2.0,2280,6010,1.0,3,1900,Seattle,275.44
2014-05-05,560000.0,3.0,2.5,1900,8744,2.0,3,1987,Sammamish,294.74
2014-05-05,900000.0,3.0,1.0,1330,77972,1.0,3,1928,Kirkland,676.69
2014-05-05,531000.0,2.0,3.0,1270,1175,2.0,3,2000,Seattle,418.11
2014-05-05,831000.0,4.0,3.0,2170,4000,2.0,4,1982,Seattle,382.95
2014-05-05,780000.0,4.0,2.5,2730,10281,2.0,3,1996,Sammamish,285.71
2014-05-05,755000.0,4.0,2.5,2120,10202,1.0,4,1960,Bellevue,356.13
2014-05-05,705380.0,3.0,2.5,2490,4343,2.0,3,2003,Issaquah,283.29
2014-05-05,627000.0,4.0,2.25,1990,7712,1.0,3,1973,Issaquah,315.08
2014-05-05,865000.0,4.0,3.0,3690,9892,2.0,3,1998,Sammamish,234.42
2014-05-05,580000.0,2.0,1.0,2540,7000,1.0,5,1942,Seattle,228.35
2014-05-05,410000.0,3.0,2.25,1800,36704,1.0,4,1978,Issaquah,227.78
2014-05-05,485000.0,4.0,3.0,2340,7048,1.0,4,1979,Kirkland,207.26
2014-05-05,400000.0,2.0,1.75,2110,9519,1.0,2,1948,Shoreline,189.57
2014-05-05,549000.0,2.0,1.0,1140,5400,1.0,5,1908,Seattle,481.58
2014-05-05,620000.0,3.0,1.75,1480,2185,2.5,3,2005,Kirkland,418.92
2014-05-05,405000.0,2.0,3.0,1410,1240,2.0,3,2006,Seattle,287.23
2014-05-05,232000.0,2.0,1.0,1200,8063,1.0,4,1958,Des Moines,193.33
2014-05-05,800866.0,5.0,2.5,3180,13806,2.0,4,1990,Kirkland,251.84
2014-05-05,650000.0,3.0,1.5,2160,9000,1.0,4,1949,Seattle,300.93
2014-05-05,823000.0,6.0,1.75,2920,5000,2.5,4,1908,Seattle,281.85
2014-05-05,770000.0,3.0,2.0,2350,5700,1.5,4,1939,Seattle,327.66
2014-05-05,524000.0,3.0,1.75,1560,5520,1.0,4,1944,Seattle,335.9
2014-05-05,541125.0,5.0,2.75,2740,8426,1.0,4,1960,Bellevue,197.49
2014-05-05,670000.0,3.0,2.5,1680,2000,3.0,3,1909,Seattle,398.81
2014-05-05,384900.0,5.0,2.5,3090,12750,1.0,3,1968,Federal Way,124.56
2014-05-05,406100.0,3.0,2.25,1410,1332,3.0,3,2005,Seattle,288.01
2014-05-05,1395000.0,5.0,3.5,4010,8510,2.0,5,1971,Seattle,347.88
2014-05-05,736500.0,4.0,2.5,3180,21904,2.0,3,2000,Renton,231.6
2014-05-05,570000.0,3.0,2.25,2010,6000,1.0,3,1975,Redmond,283.58
2014-05-05,787000.0,3.0,1.75,1330,7500,1.0,3,1961,Bellevue,591.73
2014-05-05,328000.0,4.0,2.5,2370,6500,2.0,3,1998,Auburn,138.4
2014-05-05,435000.0,5.0,2.0,1840,9240,1.0,4,1942,Seattle,236.41
2014-05-05,499000.0,4.0,2.5,2910,6479,2.0,3,2006,Snoqualmie,171.48
2014-05-05,501000.0,4.0,1.0,2070,7519,1.0,3,1963,Bellevue,242.03
2014-05-05,1090000.0,4.0,2.5,4340,141570,2.5,3,1992,Redmond,251.15
2014-05-05,400000.0,2.0,1.0,840,5510,1.0,3,1955,Seattle,476.19
2014-05-05,220000.0,4.0,1.5,1240,9600,1.0,3,1971,Federal Way,177.42
2014-05-05,657100.0,4.0,1.0,1390,4240,1.0,3,1924,Seattle,472.73
2014-05-05,309950.0,4.0,2.75,2310,5000,2.0,3,2006,Maple Valley,134.18
2014-05-05,300000.0,3.0,2.0,1050,10072,1.0,3,1986,Duvall,285.71
2014-05-05,525888.0,5.0,1.75,2550,71874,1.0,5,1960,Issaquah,206.23
2014-05-05,740000.0,4.0,1.75,2010,3600,1.5,3,1902,Seattle,368.16
2014-05-05,340000.0,5.0,1.0,1120,9022,1.5,4,1962,Kirkland,303.57
2014-05-05,398750.0,3.0,2.5,2230,4000,2.0,3,1954,Seattle,178.81
2014-05-05,206000.0,2.0,1.0,810,7158,1.0,5,1944,Burien,254.32
2014-05-05,1030000.0,5.0,2.75,3190,16920,1.0,3,1976,Bellevue,322.88
2014-05-05,600000.0,3.0,1.75,1670,39639,1.0,4,1976,Sammamish,359.28
2014-05-05,379950.0,4.0,1.75,1970,9389,1.0,5,1960,Shoreline,192.87
2014-05-05,287000.0,3.0,1.0,1450,6000,1.0,4,1953,Seattle,197.93
2014-05-05,2280000.0,7.0,8.0,13540,307752,3.0,3,1999,Redmond,168.39
2014-05-05,309950.0,3.0,2.5,1880,7838,2.0,3,1994,Renton,164.87
2014-05-05,600000.0,3.0,1.75,1880,6360,1.0,4,1945,Seattle,319.15
2014-05-05,418000.0,3.0,2.0,1410,6030,1.5,4,1930,Seattle,296.45
2014-05-05,449250.0,4.0,2.0,1480,3844,1.5,5,1928,Seattle,303.55
2014-05-05,329950.0,2.0,1.0,1140,5250,1.5,4,1949,Seattle,289.43
2014-05-05,245000.0,3.0,1.75,1920,9306,1.0,3,1984,Auburn,127.6
2014-05-05,549000.0,4.0,2.5,2910,6338,2.0,3,2008,Renton,188.66
2014-05-05,800000.0,3.0,2.5,3240,7857,2.0,3,1994,Sammamish,246.91
2014-05-05,249950.0,3.0,2.0,1550,15040,1.0,4,1958,Renton,161.26
2014-05-05,210000.0,5.0,2.0,2050,10200,1.0,3,1956,Des Moines,102.44
2014-05-05,1425000.0,2.0,2.5,2220,4000,2.0,3,2000,Seattle,641.89
2014-05-05,585000.0,2.0,1.0,1770,8640,1.5,3,1949,Seattle,330.51
2014-05-05,615000.0,4.0,1.75,2300,11700,1.0,4,1977,Redmond,267.39
2014-05-05,618500.0,3.0,2.0,1800,5000,1.0,4,1942,Seattle,343.61
2014-05-05,487585.0,4.0,1.75,2010,9211,1.0,3,1977,Kirkland,242.58
2014-05-05,509900.0,3.0,2.5,1790,2700,2.0,3,2010,Issaquah,284.86
2014-05-05,631625.0,4.0,2.5,2440,6651,2.0,3,2014,Seattle,258.86
2014-05-05,555000.0,3.0,2.5,1940,3211,2.0,3,2009,Issaquah,286.08
2014-05-05,340000.0,2.0,1.5,1160,1438,2.0,3,2001,Seattle,293.1
2014-05-05,830000.0,4.0,2.5,3400,9692,2.0,3,2007,Redmond,244.12
2014-05-05,890000.0,4.0,4.25,4420,5750,2.0,3,2006,Issaquah,201.36
2014-05-05,366750.0,3.0,3.0,1571,2017,3.0,3,2008,Seattle,233.45
2014-05-05,415000.0,3.0,2.25,1620,998,2.5,3,2010,Issaquah,256.17
2014-05-05,416286.0,3.0,2.5,1408,989,3.0,3,2005,Seattle,295.66
2014-05-05,478000.0,3.0,2.5,3040,4535,2.0,3,2007,Renton,157.24
2014-05-05,890000.0,5.0,3.5,4490,6000,2.0,3,2006,Issaquah,198.22
2014-05-05,419190.0,2.0,2.5,1590,1426,2.0,3,2014,Issaquah,263.64
2014-05-05,712198.0,4.0,2.5,2450,4247,2.0,3,2013,Redmond,290.69
2014-05-06,397000.0,4.0,2.0,1440,7680,1.0,3,1971,Kirkland,275.69
2014-05-06,450000.0,2.0,2.0,1100,3000,1.5,3,1912,Seattle,409.09
2014-05-06,353000.0,3.0,1.0,1350,7740,1.0,4,1947,Seattle,261.48
2014-05-06,609000.0,4.0,2.5,2150,37981,2.0,3,1985,Redmond,283.26
2014-05-06,234000.0,3.0,1.75,1490,8366,1.0,4,1975,Covington,157.05
2014-05-06,561000.0,3.0,2.0,2000,7000,2.0,3,1916,Seattle,280.5
2014-05-06,469000.0,2.0,1.0,1030,4400,1.0,3,1924,Seattle,455.34
2014-05-06,329350.0,2.0,1.0,720,6687,1.0,3,1942,Seattle,457.43
2014-05-06,488000.0,5.0,2.0,2020,5000,1.5,4,1938,Seattle,241.58
2014-05-06,279900.0,3.0,1.75,1580,8151,1.0,4,1962,Des Moines,177.15
2014-05-06,606000.0,4.0,2.5,2110,13850,2.0,3,1987,Issaquah,287.2
2014-05-06,312000.0,4.0,2.0,1300,7054,1.0,3,1950,Seattle,240.0
2014-05-06,650000.0,3.0,1.5,1630,7475,1.0,3,1940,Seattle,398.77
2014-05-06,1135000.0,4.0,2.75,3370,8103,1.0,3,1970,Seattle,336.8
2014-05-06,325000.0,4.0,2.5,1890,6156,1.0,3,1980,Seattle,171.96
2014-05-06,425000.0,4.0,2.0,1520,7983,1.0,5,1967,Inglewood-Finn Hill,279.61
2014-05-06,219000.0,2.0,1.0,900,5160,1.0,3,1952,Seattle,243.33
2014-05-06,250000.0,3.0,1.0,1050,6874,1.0,3,1954,Shoreline,238.1
2014-05-06,390000.0,3.0,1.75,1260,6500,1.0,4,1966,Bellevue,309.52
2014-05-06,475000.0,6.0,3.0,3470,117612,1.5,3,1924,Kenmore,136.89
2014-05-06,736000.0,4.0,2.5,2290,12047,2.0,4,1988,Bellevue,321.4
2014-05-06,407000.0,4.0,2.25,2810,23400,1.0,3,1958,Des Moines,144.84
2014-05-06,272000.0,3.0,2.5,1650,13816,2.0,3,1998,Carnation,164.85
2014-05-06,362000.0,3.0,2.25,1640,14374,1.0,4,1963,Burien,220.73
2014-05-06,535000.0,3.0,2.5,1850,10109,2.0,3,1991,Kirkland,289.19
2014-05-06,284000.0,4.0,2.5,2000,5390,2.0,3,2003,Kent,142.0
2014-05-06,367500.0,3.0,1.5,1410,9647,1.0,3,1961,Shoreline,260.64
2014-05-06,379900.0,4.0,1.75,1500,11600,1.0,4,1955,Kenmore,253.27
2014-05-06,520000.0,3.0,2.5,2460,54885,2.0,4,1980,Renton,211.38
2014-05-06,175000.0,3.0,1.0,1010,7034,1.0,3,1954,Renton,173.27
2014-05-06,460000.0,2.0,2.25,1230,929,2.0,3,2004,Seattle,373.98
2014-05-06,345000.0,4.0,2.5,2331,3826,2.0,3,2007,Renton,148.01
2014-05-06,455000.0,5.0,2.5,2240,7770,1.0,3,1978,Kirkland,203.12
2014-05-06,610000.0,4.0,3.0,2450,10117,1.0,5,1967,Bellevue,248.98
2014-05-06,563000.0,4.0,3.0,3100,15480,2.0,3,1996,Kenmore,181.61
2014-05-06,612500.0,4.0,2.0,2060,5000,1.0,3,1949,Seattle,297.33
2014-05-06,218000.0,3.0,1.75,1850,7684,1.0,3,1979,Federal Way,117.84
2014-05-06,404000.0,4.0,1.75,1840,10720,1.0,3,1958,Bellevue,219.57
2014-05-06,860000.0,4.0,2.0,3740,32417,2.0,3,2000,Redmond,229.95
2014-05-06,136500.0,3.0,1.5,1420,8580,1.0,3,1962,Federal Way,96.13
2014-05-06,313950.0,3.0,1.0,1510,6083,1.0,4,1940,Seattle,207.91
2014-05-06,575000.0,3.0,1.75,2130,6500,1.0,3,1954,Seattle,269.95
2014-05-06,1225000.0,4.0,2.25,3490,6906,2.0,4,1928,Seattle,351.0
2014-05-06,280000.0,3.0,1.75,1630,11800,1.0,4,1971,North Bend,171.78
2014-05-06,515000.0,3.0,2.5,1790,7167,2.0,3,1989,Sammamish,287.71
2014-05-06,513000.0,4.0,2.5,2000,5684,2.0,3,1996,Kenmore,256.5
2014-05-06,599000.0,4.0,2.25,2260,29930,2.0,4,1977,Bellevue,265.04
2014-05-06,685000.0,4.0,2.5,3030,7864,2.0,3,1999,Sammamish,226.07
2014-05-06,365000.0,3.0,1.5,1310,8160,1.0,3,1950,Seattle,278.63
2014-05-06,762300.0,4.0,2.5,3880,14550,2.0,3,1987,Sammamish,196.47
2014-05-06,1580000.0,4.0,3.25,3760,10920,1.5,5,1950,Seattle,420.21
2014-05-06,562000.0,5.0,2.25,3040,8111,2.0,3,1984,Redmond,184.87
2014-05-06,530000.0,5.0,2.5,2910,9636,1.0,4,1964,Bellevue,182.13
2014-05-06,525000.0,3.0,2.5,2970,11985,1.0,3,1995,Sammamish,176.77
2014-05-06,484000.0,2.0,1.75,1660,6000,1.0,3,1942,Seattle,291.57
2014-05-06,725126.0,4.0,2.5,3200,12369,2.0,3,1998,Newcastle,226.6
2014-05-06,360000.0,4.0,2.0,2680,18768,1.0,5,1965,Auburn,134.33
2014-05-06,387000.0,3.0,1.0,1230,9568,1.0,5,1962,Newcastle,314.63
2014-05-06,483500.0,4.0,2.5,2740,45732,2.0,3,1995,Woodinville,176.46
2014-05-06,655500.0,4.0,3.5,3380,8330,2.0,3,2000,Shoreline,193.93
2014-05-06,345000.0,3.0,1.0,1110,6250,1.0,3,1956,Seattle,310.81
2014-05-06,533000.0,5.0,2.75,1800,3780,1.5,3,1926,Seattle,296.11
2014-05-06,385000.0,3.0,1.75,1900,5520,1.0,3,1982,Seattle,202.63
2014-05-06,675000.0,2.0,1.0,930,36478,1.0,3,1951,Bellevue,725.81
2014-05-06,197000.0,3.0,1.75,1690,7735,1.0,4,1976,Auburn,116.57
2014-05-06,485000.0,3.0,2.0,1420,4080,1.5,3,1905,Seattle,341.55
2014-05-06,1870000.0,5.0,4.0,4510,15175,2.0,3,1969,Mercer Island,414.63
2014-05-06,295000.0,3.0,2.25,1980,8000,1.0,4,1974,Federal Way,148.99
2014-05-06,499000.0,2.0,1.75,1170,2400,1.0,4,1903,Seattle,426.5
2014-05-06,1050000.0,3.0,2.5,2200,1970,2.0,3,2008,Seattle,477.27
2014-05-06,191000.0,3.0,1.5,800,8850,1.0,4,1959,Federal Way,238.75
2014-05-06,500000.0,3.0,2.5,1480,1171,3.0,3,2006,Seattle,337.84
2014-05-06,390000.0,5.0,3.75,2890,5000,1.0,3,2006,Seattle,134.95
2014-05-06,979000.0,3.0,2.5,2690,4047,3.0,3,2014,Seattle,363.94
2014-05-06,580000.0,4.0,3.25,3569,8327,2.0,3,2013,Renton,162.51
2014-05-06,369950.0,3.0,2.0,1270,1320,3.0,3,2006,Seattle,291.3
2014-05-06,1800000.0,5.0,5.0,4490,10279,2.0,3,2013,Bellevue,400.89
2014-05-06,776000.0,4.0,2.5,3040,6425,2.0,3,2008,Redmond,255.26
2014-05-07,519950.0,3.0,2.25,1170,1249,3.0,3,2014,Seattle,444.4
2014-05-07,255000.0,5.0,2.25,2060,8632,1.0,3,1962,Burien,123.79
2014-05-07,495000.0,3.0,1.0,990,6000,1.0,3,1943,Seattle,500.0
2014-05-07,510000.0,4.0,2.5,2430,5203,2.0,3,2003,Shoreline,209.88
2014-05-07,1150000.0,4.0,4.0,4460,103382,2.0,3,2001,Redmond,257.85
2014-05-07,253000.0,3.0,1.75,1250,10122,1.0,3,1994,Black Diamond,202.4
2014-05-07,503000.0,3.0,2.75,1540,6760,1.0,5,1980,Kirkland,326.62
2014-05-07,275000.0,3.0,2.5,1600,7000,2.0,4,1993,Maple Valley,171.88
2014-05-07,249000.0,3.0,1.0,1110,8423,1.0,3,1952,Burien,224.32
2014-05-07,310000.0,3.0,1.75,1840,10723,1.0,4,1974,Renton,168.48
2014-05-07,750000.0,3.0,2.75,2520,5401,1.0,4,1946,Seattle,297.62
2014-05-07,630000.0,3.0,2.5,2680,327135,2.0,3,1995,Ravensdale,235.07
2014-05-07,599999.0,9.0,4.5,3830,6988,2.5,3,1938,Seattle,156.66
2014-05-07,758000.0,4.0,2.75,2410,9549,1.0,4,1956,Kirkland,314.52
2014-05-07,248500.0,4.0,1.75,1720,10018,1.0,5,1960,Covington,144.48
2014-05-07,310000.0,3.0,1.75,2070,37904,1.0,4,1973,Kent,149.76
2014-05-07,460000.0,3.0,2.0,1760,9055,2.0,4,1985,Redmond,261.36
2014-05-07,675000.0,3.0,1.75,1680,10500,1.0,4,1959,Bellevue,401.79
2014-05-07,526000.0,2.0,2.0,1550,2400,1.5,4,1900,Seattle,339.35
2014-05-07,560000.0,3.0,3.0,4120,60392,2.0,3,1994,Carnation,135.92
2014-05-07,415000.0,4.0,3.0,1830,9548,2.0,3,1991,Bothell,226.78
2014-05-07,246000.0,3.0,1.0,1400,7410,1.0,3,1944,Burien,175.71
2014-05-07,314500.0,3.0,1.75,1870,12381,1.0,4,1957,Federal Way,168.18
2014-05-07,3200000.0,7.0,4.5,6210,8856,2.5,5,1910,Seattle,515.3
2014-05-07,420000.0,2.0,1.5,1040,3500,1.5,4,1904,Seattle,403.85
2014-05-07,535000.0,3.0,1.75,2720,149410,1.5,3,1988,Carnation,196.69
2014-05-07,350000.0,3.0,1.0,1010,9360,1.0,3,1981,Kirkland,346.53
2014-05-07,515000.0,3.0,1.75,1580,9147,1.0,4,1967,Bellevue,325.95
2014-05-07,749950.0,4.0,2.75,2600,6050,2.0,5,1949,Seattle,288.44
2014-05-07,230000.0,3.0,2.5,1920,9180,2.0,3,1988,Renton,119.79
2014-05-07,568000.0,3.0,2.0,2350,5080,1.5,3,1929,Seattle,241.7
2014-05-07,250000.0,1.0,1.0,1100,4373,1.0,2,1947,Burien,227.27
2014-05-07,581000.0,4.0,2.0,2510,13695,1.0,4,1961,Kirkland,231.47
2014-05-07,651000.0,3.0,2.5,3240,108366,2.0,4,1991,Kent,200.93
2014-05-07,600000.0,3.0,2.5,2460,108900,1.0,4,1977,Issaquah,243.9
2014-05-07,500000.0,2.0,1.0,1010,3885,1.5,4,1906,Seattle,495.05
2014-05-07,475000.0,2.0,1.0,820,2723,1.0,3,1921,Seattle,579.27
2014-05-07,352000.0,5.0,2.5,2420,8560,1.0,3,1978,Seattle,145.45
2014-05-07,420000.0,3.0,2.25,1770,8165,2.0,3,1977,Kirkland,237.29
2014-05-07,428000.0,2.0,2.0,1350,3900,1.0,3,2003,Redmond,317.04
2014-05-07,599000.0,3.0,1.75,1960,4788,1.0,4,1920,Seattle,305.61
2014-05-07,492000.0,4.0,2.5,3305,16164,1.5,5,1922,Shoreline,148.87
2014-05-07,630000.0,2.0,2.25,2550,5663,1.0,3,2011,Renton,247.06
2014-05-07,900000.0,5.0,3.75,4130,226076,2.0,3,1985,Woodinville,217.92
2014-05-07,1110000.0,4.0,1.5,2310,13300,1.0,3,1950,Clyde Hill,480.52
2014-05-07,575000.0,4.0,2.0,1650,5000,1.0,3,1955,Seattle,348.48
2014-05-07,705000.0,4.0,2.5,2650,4316,1.5,3,1905,Seattle,266.04
2014-05-07,940000.0,4.0,2.25,1890,5940,1.0,3,1963,Seattle,497.35
2014-05-07,313000.0,3.0,1.75,2190,8000,1.0,4,1967,Federal Way,142.92
2014-05-07,618080.0,3.0,2.5,2030,6500,2.0,3,1988,Issaquah,304.47
2014-05-07,640000.0,3.0,3.0,2270,5175,2.0,3,2002,Renton,281.94
2014-05-07,485000.0,3.0,2.0,1610,4160,1.0,4,1917,Seattle,301.24
2014-05-07,300000.0,2.0,1.0,760,3001,1.0,3,1913,Seattle,394.74
2014-05-07,379500.0,2.0,1.0,1640,17335,1.0,3,1978,Redmond,231.4
2014-05-07,339950.0,3.0,2.25,1630,12295,2.0,4,1985,Renton,208.56
2014-05-07,1500000.0,6.0,2.5,3560,6480,2.5,4,1914,Seattle,421.35
2014-05-07,1340000.0,3.0,3.0,2960,5500,2.0,3,1937,Seattle,452.7
2014-05-07,500000.0,3.0,2.5,1940,37565,1.0,4,1987,Issaquah,257.73
2014-05-07,239900.0,3.0,2.0,1410,7566,1.0,3,1985,Kent,170.14
2014-05-07,314950.0,3.0,1.0,1040,16986,1.0,4,1968,Renton,302.84
2014-05-07,361280.0,2.0,1.0,820,6400,1.0,4,1944,Seattle,440.59
2014-05-07,100000.0,2.0,1.0,910,22000,1.0,3,1956,Algona,109.89
2014-05-07,540000.0,7.0,5.75,3700,7647,2.0,3,1948,Lake Forest Park,145.95
2014-05-07,480500.0,4.0,2.5,2180,11200,1.0,4,1968,Woodinville,220.41
2014-05-07,280000.0,3.0,2.5,1600,4271,2.0,3,2000,Auburn,175.0
2014-05-07,440000.0,3.0,1.75,1500,6180,1.0,4,1947,Seattle,293.33
2014-05-07,530000.0,3.0,1.0,1340,4284,1.0,3,1910,Seattle,395.52
2014-05-07,560000.0,3.0,2.0,1860,13374,1.0,3,1985,Issaquah,301.08
2014-05-07,775000.0,3.0,2.0,2540,7200,1.5,4,1905,Seattle,305.12
2014-05-07,160000.0,2.0,1.0,1040,13100,1.0,5,1912,Kent,153.85
2014-05-07,209950.0,3.0,1.5,1380,11130,1.0,3,1960,Federal Way,152.14
2014-05-07,226500.0,3.0,1.75,1640,10762,1.0,3,1988,Covington,138.11
2014-05-07,380000.0,5.0,1.75,3000,6000,1.0,5,1958,Seattle,126.67
2014-05-07,409500.0,4.0,2.75,2140,13000,1.0,3,1968,Kenmore,191.36
2014-05-07,690000.0,3.0,2.0,1760,6428,1.0,4,1942,Seattle,392.05
2014-05-07,405000.0,3.0,2.25,1660,8307,1.0,4,1961,Shoreline,243.98
2014-05-07,375000.0,3.0,2.5,1830,13042,2.0,3,1990,Maple Valley,204.92
2014-05-07,794154.0,4.0,2.0,2210,8556,1.0,4,1954,Seattle,359.35
2014-05-07,185000.0,4.0,1.0,1490,6600,1.0,3,1969,Burien,124.16
2014-05-07,245000.0,3.0,1.5,1260,1270,2.0,3,2005,Seattle,194.44
2014-05-07,1532500.0,5.0,4.5,4270,8076,2.0,3,2007,Kirkland,358.9
2014-05-07,1040000.0,4.0,3.5,3900,8391,2.0,3,2006,Kirkland,266.67
2014-05-07,425000.0,2.0,2.5,1150,1027,3.0,3,2008,Seattle,369.57
2014-05-07,495000.0,4.0,2.75,2656,21195,2.0,3,2014,Auburn,186.37
